DOB,Genotype,Sex,Spore_level,Animal,TimeTillDeathDays,Censured,Infected_Uninfected,Susceptible,Infected,Exposed,Total_Offspring,Length_Day_7,Length_Day_20,Growth,Age_1st_clutch
6/12/19,A45,F,0,1,14,0,Control,1,0,0,3,0.1152,0.16512,0.04992,15
6/12/19,A45,F,0,2,2,1,Control,1,0,0,,0.1229,,,
6/12/19,A45,F,0,3,2,1,Control,1,0,0,,0.119,,,
6/12/19,A45,F,0,4,14,0,Control,1,0,0,2,0.1094,0.1632,0.05376,19
6/12/19,A45,F,0,5,14,0,Control,1,0,0,0,0.1286,0.15744,0.0288,
6/12/19,A45,F,0,6,1,1,Control,1,0,0,,-,,,
6/12/19,A45,F,0,7,14,0,Control,1,0,0,1,0.121,0.16128,0.04032,16
6/12/19,A45,F,0,8,14,0,Control,1,0,0,3,0.1152,0.16128,0.04608,18
6/12/19,A45,F,0,9,14,0,Control,1,0,0,4,0.1133,0.15552,0.04224,18
6/12/19,A45,F,0,10,13,1,Control,1,0,0,3,0.1152,,,12
6/12/19,A45,F,0,11,14,0,Control,1,0,0,4,0.1133,0.15744,0.04416,18
6/12/19,A45,F,0,12,14,0,Control,1,0,0,2,0.1018,0.16128,0.05952,19
6/12/19,A45,F,0,13,14,0,Control,1,0,0,2,0.1114,0.1632,0.05184,19
6/12/19,A45,F,0,14,14,0,Control,1,0,0,2,0.1152,0.16512,0.04992,12
6/12/19,A45,F,0,15,14,0,Control,1,0,0,1,0.121,0.16896,0.048,19
6/12/19,A45,F,0,16,14,0,Control,1,0,0,2,0.121,0.16128,0.04032,18
6/12/19,A45,F,0,17,14,0,Control,1,0,0,2,0.1171,0.15936,0.04224,16
6/12/19,A45,F,0,18,14,0,Control,1,0,0,1,0.121,0.1632,0.04224,19
6/12/19,A45,F,0,19,14,0,Control,1,0,0,5,0.119,0.15936,0.04032,18
6/12/19,A45,F,0,20,14,0,Control,1,0,0,0,0.1152,0.17088,0.05568,
6/12/19,A45,F,0,21,14,0,Control,1,0,0,1,0.1344,0.17088,0.03648,12
6/12/19,A45,F,0,22,14,0,Control,1,0,0,1,0.1248,0.16128,0.03648,18
6/12/19,A45,F,0,23,14,0,Control,1,0,0,2,0.1248,0.16128,0.03648,19
