"","Genotype","Spore_level","Animal","Plate","Control_mean","mean_surface_area","mean_init_length","mean_final_length","mean_final_surface_area","mean_growth_length","mean_feeding_rate","susc","inf","censured","spores_ul","fecundity","age_clutch_1"
"1","A45",0,1,"A45_0",43216.75,1.3271,1.152,1.6512,2.72646144,1.3994,0.038079404505236,1,0,0,0,3,15
"2","A45",0,2,"A45_0",43216.75,1.5099,1.229,NA,NA,NA,0.144523879505058,1,0,1,0,0,NA
"3","A45",0,3,"A45_0",43216.75,1.4171,1.19,NA,NA,NA,0.141036518898241,1,0,1,0,0,NA
"4","A45",0,5,"A45_0",43216.75,1.6548,1.286,1.5744,2.47873536,0.8239,0.13027416172185,1,0,0,0,0,NA
"5","A45",0,7,"A45_0",43216.75,1.4631,1.21,1.6128,2.60112384,1.138,0.0580069423113279,1,0,0,0,1,16
"6","A45",0,8,"A45_0",43216.75,1.3271,1.152,1.6128,2.60112384,1.274,0.0047597155589815,1,0,0,0,3,18
"7","A45",0,10,"A45_0",43216.75,1.3271,1.152,NA,NA,NA,0.0984420123647709,1,0,1,0,3,12
"8","A45",0,16,"A45_0",43216.75,1.4631,1.21,1.6128,2.60112384,1.138,0.0277286179267675,1,0,0,0,2,18
"9","A45",0,21,"A45_0",43216.75,1.8063,1.344,1.7088,2.91999744,1.1137,0.0696149584160381,1,0,0,0,1,12
"10","A45",0,22,"A45_0",43216.75,1.5575,1.248,1.6128,2.60112384,1.0436,0.0246489706251836,1,0,0,0,1,18
"11","A45",0,25,"A45_0",43216.75,1.4171,1.19,1.6512,2.72646144,1.3094,0.17312436333568,1,0,0,0,2,19
"12","A45",0,27,"A45_0",43216.75,1.7046,1.306,NA,NA,NA,0.0841420146965421,1,0,1,0,3,12
"13","A45",0,28,"A45_0",43216.75,1.5575,1.248,1.7664,3.12016896,1.5627,0.178445877715418,1,0,0,0,1,12
"14","A45",150,1,"A45_150",46564.4,1.2401,1.114,1.6128,2.60112384,1.361,0.163746188010682,0,1,NA,55.11403821,2,NA
"15","A45",150,2,"A45_150",46564.4,1.6548,1.286,1.6128,2.60112384,0.9463,0.236150968024486,1,0,0,0,6,9
"16","A45",150,3,"A45_150",46564.4,1.5575,1.248,1.632,2.663424,1.1059,0.208204734780165,0,1,NA,44.13744271,4,NA
"17","A45",150,5,"A45_150",46564.4,1.5575,1.248,1.632,2.663424,1.1059,0.0107907402715356,0,0,0,0,2,19
