round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,A45,1,0,195.98,385.9988889,28.10163639,16.99208466,66,1.286004456,0.361805556,35,,102,0,0,1,,0,1,0,No
1,A45,2,0,215.86,385.9988889,24.09599988,17.05643276,61,1.188579876,0.361805556,23,21,82,1,0,1,,0,1,0,No
1,A45,3,0,208.13,385.9988889,25.60788234,18.12662374,61,1.188579876,0.361805556,23,,94,0,0,1,,0,1,0,No
1,A45,4,0,229.29,385.9988889,21.59365321,15.28513844,61,1.188579876,0.361805556,22,21,87,1,0,1,,0,1,0,No
1,A45,5,0,215.48,385.9988889,24.16904816,13.37101235,69,1.344459204,0.361805556,15,17,76,1,0,1,,0,1,0,No
1,A45,6,0,221.97,385.9988889,22.93879592,16.7830559,60,1.16909496,0.361805556,31,,106,0,0,1,,0,1,0,No
1,A45,7,0,218.57,385.9988889,23.57874912,15.64741449,63,1.227549708,0.361805556,24,,95,0,0,1,,0,1,0,No
1,A45,8,0,256.34,385.9988889,16.97029508,10.57951125,65,1.26651954,0.361805556,9,16,82,1,0,1,,0,1,0,No
1,A45,9,0,215.74,385.9988889,24.11905386,18.24984449,59,1.149610044,0.361805556,19,19,85,1,0,1,,0,1,0,No
1,A45,10,0,256.75,385.9988889,16.90403737,10.87009702,64,1.247034624,0.361805556,15,,83,0,0,1,,0,1,0,No
1,A45,11,0,173.62,385.9988889,33.12409701,22.69674577,62,1.208064792,0.361805556,17,,92,0,0,1,,0,1,0,No
1,A45,13,0,211.92,385.9988889,24.85971968,17.03396586,62,1.208064792,0.361805556,20,,95,0,0,1,,0,1,0,No
1,A45,14,0,190.92,385.9988889,29.18611895,21.35387871,60,1.16909496,0.361805556,33,,99,0,0,1,,0,1,0,No
1,A45,15,0,187.09,385.9988889,30.02626806,20.57410267,62,1.208064792,0.361805556,13,15,76,1,0,1,,0,1,0,No
1,A45,1,75,,,,,avg,1.211312278,0.361805556,18,14,92,1,1,0,21.75,1,0,0,No
1,A45,2,75,,,,,avg,1.211312278,0.361805556,13,16,88,1,1,0,26.125,1,0,0,No
1,A45,3,75,,,,,avg,1.211312278,0.361805556,32,,104,0,0,1,0,0,1,0,No
