Genotype,Spore_level,Plate,Animal,Sex,Technical_Replicate,Flourometry_Reading,Length_mm,Size_mm2,Final_length_mm,Final_Size_mm2,Total_Growth,Infected_Uninfected,Susceptible,Infected,Spores_ul,Total_Fecundity,Control_Number,Control_Technical_Replicate,Control_Flour_Reading,USE_Control_Flour_Reading,Plate_Control,Sample,TimeTillDeathDays,Censured,Growth,Age_1st_clutch,Individual_ID,Control_mean,fr_sw
Standard,0,STD_0,1,F,1,43523,1.248,1.5575,NA,NA,NA,Control,1,0,0,NA,C1,1,50048,50048,STD_0,NA,3,1,NA,NA,Standard_0_1,45836.75,0.07399519588471083
Standard,0,STD_0,1,F,2,48301,1.248,1.5575,NA,NA,NA,Control,1,0,0,NA,C1,2,50063,50063,STD_0,NA,3,1,NA,NA,Standard_0_1,45836.75,-0.074808704661805
Standard,0,STD_0,2,F,1,47008,0.922,0.8493,1.056,1.115136,0.2658,Control,1,0,0,0,C1,3,38858,38858,STD_0,NA,14,0,0.01344,NA,Standard_0_2,45836.75,-0.036045184109684825
Standard,0,STD_0,2,F,2,46553,0.922,0.8493,1.056,1.115136,0.2658,Control,1,0,0,0,C2,1,37583,NA,STD_0,NA,14,0,0.01344,NA,Standard_0_2,45836.75,-0.022150396233064213
Standard,0,STD_0,3,F,1,47450,1.306,1.7046,NA,NA,NA,Control,1,0,0,0,C2,2,36085,NA,STD_0,NA,2,1,NA,7,Standard_0_3,45836.75,-0.04941479134464214
Standard,0,STD_0,3,F,2,50218,1.306,1.7046,NA,NA,NA,Control,1,0,0,0,C2,3,44378,44378,STD_0,NA,2,1,NA,7,Standard_0_3,45836.75,-0.13041051007245247
Standard,0,STD_0,4,F,1,46119,1.306,1.7046,NA,NA,NA,Control,1,0,0,3,C3,1,35381,NA,STD_150,NA,10,1,NA,8,Standard_0_4,45836.75,-0.008769773548406598
Standard,0,STD_0,4,F,2,46851,1.306,1.7046,NA,NA,NA,Control,1,0,0,3,C3,2,39150,39150,STD_150,NA,10,1,NA,8,Standard_0_4,45836.75,-0.03126597437018719
Standard,0,STD_0,5,F,1,41011,1.325,1.7551,1.632,2.663424,0.9083,Control,1,0,0,4,C3,3,46946,46946,STD_150,1,14,0,0.03072,9,Standard_0_5,45836.75,0.1589226395878553
Standard,0,STD_0,5,F,2,43081,1.325,1.7551,1.632,2.663424,0.9083,Control,1,0,0,4,C4,1,45884,45884,STD_150,1,14,0,0.03072,9,Standard_0_5,45836.75,0.0885772949546273
Standard,0,STD_0,6,F,1,42429,1.344,1.8063,1.632,2.663424,0.8571,Control,1,0,0,6,C4,2,42817,42817,STD_150,1,14,0,0.0288,9,Standard_0_6,45836.75,0.11036297201173573
Standard,0,STD_0,6,F,2,34923,1.344,1.8063,1.632,2.663424,0.8571,Control,1,0,0,6,C4,3,41056,41056,STD_150,1,14,0,0.0288,9,Standard_0_6,45836.75,0.3884864759721055
Standard,0,STD_0,7,F,1,52396,1.286,1.6548,1.5744,2.47873536,0.8239,Control,1,0,0,6,C5,1,38633,38633,STD_300,1,14,0,0.0288,18,Standard_0_7,45836.75,-0.1910629734581643
Standard,0,STD_0,7,F,2,43521,1.286,1.6548,1.5744,2.47873536,0.8239,Control,1,0,0,6,C5,2,40687,40687,STD_300,1,14,0,0.0288,18,Standard_0_7,45836.75,0.07406084412830388
Standard,0,STD_0,8,F,1,38006,1.248,1.5575,1.5744,2.47873536,0.9212,Control,1,0,0,8,C5,3,41765,41765,STD_300,1,14,0,0.03264,11,Standard_0_8,45836.75,0.2676316130221737
Standard,0,STD_0,8,F,2,39055,1.248,1.5575,1.5744,2.47873536,0.9212,Control,1,0,0,8,C6,1,38866,38866,STD_300,1,14,0,0.03264,11,Standard_0_8,45836.75,0.22873608864632403
Standard,0,STD_0,9,F,1,37803,1.267,1.6058,1.536,2.359296,0.7535,Control,1,0,0,4,C6,2,38720,38720,STD_300,1,14,0,0.02688,9,Standard_0_9,45836.75,0.2752824379414595
Standard,0,STD_0,9,F,2,49228,1.267,1.6058,1.536,2.359296,0.7535,Control,1,0,0,4,C6,3,36937,NA,STD_300,1,14,0,0.02688,9,Standard_0_9,45836.75,-0.10196628027914689
Standard,0,STD_0,10,F,1,38848,1.152,1.3271,1.5936,2.53956096,1.2125,Control,1,0,0,5,C7,1,45949,45949,A45_0,1,14,0,0.04416,12,Standard_0_10,45836.75,0.23632796525379202
